fname,writer
0001,1
0002,1
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,1
0023,1
0024,0
0025,1
0026,1
0027,1
0028,1
0029,1
0030,1
0031,1
0032,1
0033,1
0034,1
0035,1
0036,1
0036,1
0037,1
0038,1
0039,1
0040,1
0041,1
0042,1
0043,1
0044,1
0045,1
0046,1
0047,1
0048,1
0049,1
0050,1
0051,1
0052,1
0053,1
0054,1
0055,1
0056,1
0057,1
0058,1
0059,1
0060,1
0061,1
0062,1
0063,1
0064,1
0065,1
0066,1
0067,1
0068,1
0069,1
0070,1
0071,1
0072,1
0073,1
0074,1
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
